rbo,cluster,signature_name,current_p
0.00777641304044424,K169-38,pnoc,0.98
0.0490226860336959,K169-39,pnoc,0.98
0.0110312966804525,K169-4,pnoc,0.98
0.00348363179338098,K169-40,pnoc,0.98
0.0791806463687111,K169-41,pnoc,0.98
0.00230887760045447,K169-42,pnoc,0.98
0.00566507450250325,K169-43,pnoc,0.98
0.0275522746906736,K169-44,pnoc,0.98
0.0198707658781666,K169-45,pnoc,0.98
0.00359082784437041,K169-46,pnoc,0.98
0.0059513756245886,K169-47,pnoc,0.98
0.0310258152224674,K169-48,pnoc,0.98
0.0173182761399447,K169-49,pnoc,0.98
0.00605190152201918,K169-5,pnoc,0.98
0.06163865481687,K169-50,pnoc,0.98
4.83486023889852e-05,K169-51,pnoc,0.98
0.052525407143676,K169-52,pnoc,0.98
0.00434736181163628,K169-53,pnoc,0.98
0.0218500385076132,K169-54,pnoc,0.98
0.0229584367300389,K169-55,pnoc,0.98
0.0352611265105599,K169-56,pnoc,0.98
0.00254175471520965,K169-57,pnoc,0.98
0.0193599930612502,K169-58,pnoc,0.98
0.0502126051521172,K169-59,pnoc,0.98
0.0141817009024992,K169-6,pnoc,0.98
0.0413137920387421,K169-60,pnoc,0.98
0.0235863865794329,K169-61,pnoc,0.98
0.00335652338839007,K169-62,pnoc,0.98
0.0188398887472309,K169-63,pnoc,0.98
