cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Kirrel3,0.695286315977788,0.000354752652585075,7.34368112783611e-05,1,0.84,0.16,3
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Caskin1,0.547144850089537,0.000371472675777031,8.01857643177857e-05,0.814,0.496,0.318,31
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Srgap3,0.569418711117894,0.000395046969415914,1.0383990135911e-06,0.943,0.795,0.148,11
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Grin2b,0.366424573541436,0.000399034885542155,7.10381785556196e-05,1,0.996,0.004,3
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Nme1,-0.895739131044191,0.000401239065580784,2.04073350377295e-05,0.157,0.519,-0.362,24
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Kcnd3,0.566577876292073,0.000408835668477166,1.43171307640312e-07,0.886,0.597,0.289,4
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Uqcrb,-0.77910934558087,0.00041411424605226,0.000755029488384507,0.1,0.47,-0.37,32
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Calm3,-0.742019716729625,0.000429766331469521,0.000525435412459448,0.129,0.496,-0.367,11
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tmem59l,-0.825685242612654,0.000430956628145005,4.43522402004766e-05,0.543,0.754,-0.211,22
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Selenok,-0.924726006158331,0.000431326626686751,7.52672475747367e-06,0.343,0.631,-0.288,28
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Pgam1,-0.778763249985442,0.000446281625232548,0.000355086963190768,0.114,0.489,-0.375,19
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl6,-1.06492514121014,0.000452438261693363,7.12912751212329e-07,0.743,0.832,-0.089,53
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5j,-0.946232956016737,0.000455371026884825,1.32679713533406e-05,0.2,0.545,-0.345,37
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tbca,-0.739954095134301,0.000537866499490965,0.000193375501186907,0.329,0.638,-0.309,15
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5e,-0.748032990685791,0.000557612724923039,0.000937184135406531,0.086,0.47,-0.384,36
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Dynll1,-0.936680917651324,0.00056294208477714,1.86679005210193e-06,0.371,0.634,-0.263,22
