gene,ensembl_gene_id,log2FoldChange,padj
Vsig2,ENSMUSG00000001943,0.95006434415939,0.195099156284531
Esam,ENSMUSG00000001946,-0.610029963399343,0.211286200505435
Spa17,ENSMUSG00000001948,0.277401855471097,0.176911822627825
Fam50a,ENSMUSG00000001962,0.299206193784737,0.105338332784561
Emd,ENSMUSG00000001964,0.549581098780771,7.70401973573978e-11
Taco1,ENSMUSG00000001983,0.337622166397655,0.0815767212506802
Grik3,ENSMUSG00000001985,0.239514222297064,0.0483912201261985
Gria3,ENSMUSG00000001986,0.0595849010355893,0.733437507824666
Npas1,ENSMUSG00000001988,1.26564216404975,1.56255847701299e-07
Sipa1l2,ENSMUSG00000001995,0.146821239239522,0.114174804395273
Ap4e1,ENSMUSG00000001998,-0.881900434721096,3.77088538646446e-11
Blvra,ENSMUSG00000001999,0.353092501860117,0.0374980485540388
Pdzd4,ENSMUSG00000002006,0.342941830225941,0.00153353128267849
Srpk3,ENSMUSG00000002007,-1.20029677466764,0.0047845924859721
Idh3g,ENSMUSG00000002010,0.454673612070088,9.51333967007087e-08
Pnck,ENSMUSG00000002012,0.740979104398849,3.33105281847542e-11
Ssr4,ENSMUSG00000002014,0.527339925380098,0.00224450097764727
Bcap31,ENSMUSG00000002015,0.533937396656121,0.000116762674346508
Fam98a,ENSMUSG00000002017,-0.116386467567838,0.413043451185797
Ltbp2,ENSMUSG00000002020,-0.115172293816984,0.958490252018204
Kmt2a,ENSMUSG00000002028,-0.258505998657748,0.0288105260086877
Ift46,ENSMUSG00000002031,0.603123811144484,3.12766703431362e-12
Tmem25,ENSMUSG00000002032,0.713112052358058,0.000101407697544155
Cd3g,ENSMUSG00000002033,0.343820195114264,
Trappc6a,ENSMUSG00000002043,0.449521319005117,0.155335570264388
Supt6,ENSMUSG00000002052,0.00745351858312198,0.974236318321573
Spag5,ENSMUSG00000002055,-1.16130777590356,2.04607288673647e-05
Foxn1,ENSMUSG00000002057,-0.0883584552897894,0.955809086122683
Unc119,ENSMUSG00000002058,0.773024089420067,3.59144825252265e-07
Rab34,ENSMUSG00000002059,-0.620652071956002,0.000156352577783572
Sdf2,ENSMUSG00000002064,0.634653095150506,2.66110599136968e-06
Ccne1,ENSMUSG00000002068,0.815323094948057,1.42579047935337e-05
Hsf2bp,ENSMUSG00000002076,0.950272412472972,0.0298794325136498
Bbc3,ENSMUSG00000002083,0.394329973358491,0.38693367237887
Mybpc3,ENSMUSG00000002100,1.4069457834956,
Psmc3,ENSMUSG00000002102,0.312717848366629,0.0023806959962585
Acp2,ENSMUSG00000002103,0.157948254259944,0.32542888667197
Rapsn,ENSMUSG00000002104,-0.565917445849943,0.436941069752879
Slc39a13,ENSMUSG00000002105,0.4489879256296,0.00228568893774393
Celf2,ENSMUSG00000002107,-0.171041358636857,0.25427376272744
Nr1h3,ENSMUSG00000002108,-1.22568279830549,0.000672102804034347
Ddb2,ENSMUSG00000002109,-0.0802227092935265,0.699541156191334
Spi1,ENSMUSG00000002111,-2.92328568623461,1.88760289664137e-09
Sf3a1,ENSMUSG00000002129,0.0619850715897345,0.671357045287533
Stat6,ENSMUSG00000002147,-0.374785113218789,0.0743677305863164
Clgn,ENSMUSG00000002190,-0.240856840466358,0.170539946098817
Napsa,ENSMUSG00000002204,-0.644614558350293,0.778356454081647
Vrk3,ENSMUSG00000002205,0.0928801895409739,0.561591511187056
Smg9,ENSMUSG00000002210,0.240303903673879,0.126461511715356
Paxip1,ENSMUSG00000002221,0.17794663315378,0.0851844434184416
Rmnd5a,ENSMUSG00000002222,-0.0337727542780218,0.734665554696501
Mov10,ENSMUSG00000002227,-0.423386975937092,0.0840511995602575
Ppm1j,ENSMUSG00000002228,0.807730262559181,0.1406496394046
Rhoc,ENSMUSG00000002233,-1.44284928504494,2.1663486314901e-06
Prr27,ENSMUSG00000002240,,
Tead3,ENSMUSG00000002249,-0.872764505696244,0.163412680701161
Ppard,ENSMUSG00000002250,0.028192336250806,0.918328487884976
Def6,ENSMUSG00000002257,0.507475389100626,0.332563009959649
Peg3,ENSMUSG00000002265,0.394972185745563,0.0417549283036411
